time,key,value,table
2020-05-08T01:24:49Z,Montebello,5,areas
2020-05-08T01:24:49Z,MRC du Pontiac,5,areas
2020-05-08T01:24:49Z,Papineauville,5,areas
2020-05-08T01:24:49Z,Plaisance,5,areas
2020-05-08T01:24:49Z,Ripon,5,areas
2020-05-08T01:24:49Z,RLS de Gatineau,258,rls
2020-05-08T01:24:49Z,RLS de la Vallée-de-la-Gatineau,5,rls
2020-05-08T01:24:49Z,RLS de Papineau,36,rls
2020-05-08T01:24:49Z,RLS des Collines-de-l'Outaouais,13,rls
2020-05-08T01:24:49Z,RLS du Pontiac,5,rls
2020-05-08T01:24:49Z,Saint-André-Avellin,7,areas
2020-05-08T01:24:49Z,Thurso,5,areas
2020-05-08T01:24:49Z,To be determined,17,areas
2020-05-08T01:24:49Z,To be determined,10,rls
2020-05-08T01:24:49Z,Total cases,322,areas
2020-05-08T01:24:49Z,Total cases,322,rls
2020-05-08T01:24:49Z,Val-des-Monts,7,areas
2020-05-09T00:37:14Z,Active cases,149,rls
2020-05-09T00:37:14Z,Blue Sea,5,areas
2020-05-09T00:37:14Z,Cantley,5,areas
2020-05-09T00:37:14Z,Fassett,5,areas
2020-05-09T00:37:14Z,Gatineau,274,areas
2020-05-09T00:37:14Z,Healed/resolved cases,177,rls
2020-05-09T00:37:14Z,L'Ange-Gardien,8,areas
2020-05-09T00:37:14Z,La Pêche,5,areas
2020-05-09T00:37:14Z,Lac-des-Plages,5,areas
2020-05-09T00:37:14Z,Maniwaki,5,areas
2020-05-09T00:37:14Z,Montebello,5,areas
2020-05-09T00:37:14Z,MRC du Pontiac,5,areas
2020-05-09T00:37:14Z,Papineauville,5,areas
2020-05-09T00:37:14Z,Plaisance,5,areas
2020-05-09T00:37:14Z,Ripon,5,areas
2020-05-09T00:37:14Z,RLS de Gatineau,261,rls
2020-05-09T00:37:14Z,RLS de la Vallée-de-la-Gatineau,5,rls
2020-05-09T00:37:14Z,RLS de Papineau,36,rls
2020-05-09T00:37:14Z,RLS des Collines-de-l'Outaouais,14,rls
2020-05-09T00:37:14Z,RLS du Pontiac,5,rls
2020-05-09T00:37:14Z,Saint-André-Avellin,7,areas
2020-05-09T00:37:14Z,Thurso,5,areas
2020-05-09T00:37:14Z,To be determined,7,areas
2020-05-09T00:37:14Z,To be determined,7,rls
2020-05-09T00:37:14Z,Total cases,326,areas
2020-05-09T00:37:14Z,Total cases,326,rls
2020-05-09T00:37:14Z,Val-des-Monts,8,areas
2020-05-10T00:34:36Z,Active cases,125,rls
2020-05-10T00:34:36Z,Blue Sea,5,areas
2020-05-10T00:34:36Z,Cantley,5,areas
2020-05-10T00:34:36Z,Fassett,5,areas
2020-05-10T00:34:36Z,Gatineau,274,areas
2020-05-10T00:34:36Z,Healed/resolved cases,209,rls
2020-05-10T00:34:36Z,L'Ange-Gardien,8,areas
2020-05-10T00:34:36Z,La Pêche,5,areas
2020-05-10T00:34:36Z,Lac-des-Plages,5,areas
2020-05-10T00:34:36Z,Maniwaki,5,areas
2020-05-10T00:34:36Z,Montebello,5,areas
2020-05-10T00:34:36Z,MRC du Pontiac,5,areas
2020-05-10T00:34:36Z,Papineauville,5,areas
2020-05-10T00:34:36Z,Plaisance,5,areas
2020-05-10T00:34:36Z,Ripon,5,areas
2020-05-10T00:34:36Z,RLS de Gatineau,269,rls
2020-05-10T00:34:36Z,RLS de la Vallée-de-la-Gatineau,5,rls
2020-05-10T00:34:36Z,RLS de Papineau,36,rls
2020-05-10T00:34:36Z,RLS des Collines-de-l'Outaouais,14,rls
2020-05-10T00:34:36Z,RLS du Pontiac,5,rls
2020-05-10T00:34:36Z,Saint-André-Avellin,7,areas
2020-05-10T00:34:36Z,Thurso,5,areas
2020-05-10T00:34:36Z,To be determined,15,areas
2020-05-10T00:34:36Z,To be determined,9,rls
2020-05-10T00:34:36Z,Total cases,334,areas
2020-05-10T00:34:36Z,Total cases,334,rls
2020-05-10T00:34:36Z,Val-des-Monts,8,areas
2020-05-11T02:21:20Z,Active cases,128,rls
2020-05-11T02:21:20Z,Blue Sea,5,areas
2020-05-11T02:21:20Z,Cantley,5,areas
2020-05-11T02:21:20Z,Fassett,5,areas
2020-05-11T02:21:20Z,Gatineau,274,areas
2020-05-11T02:21:20Z,Healed/resolved cases,209,rls
2020-05-11T02:21:20Z,L'Ange-Gardien,8,areas
2020-05-11T02:21:20Z,La Pêche,5,areas
2020-05-11T02:21:20Z,Lac-des-Plages,5,areas
2020-05-11T02:21:20Z,Maniwaki,5,areas
2020-05-11T02:21:20Z,Montebello,5,areas
2020-05-11T02:21:20Z,MRC du Pontiac,5,areas
2020-05-11T02:21:20Z,Papineauville,5,areas
2020-05-11T02:21:20Z,Plaisance,5,areas
2020-05-11T02:21:20Z,Ripon,5,areas
2020-05-11T02:21:20Z,RLS de Gatineau,271,rls
2020-05-11T02:21:20Z,RLS de la Vallée-de-la-Gatineau,5,rls
2020-05-11T02:21:20Z,RLS de Papineau,37,rls
2020-05-11T02:21:20Z,RLS des Collines-de-l'Outaouais,14,rls
2020-05-11T02:21:20Z,RLS du Pontiac,5,rls
2020-05-11T02:21:20Z,Saint-André-Avellin,7,areas
2020-05-11T02:21:20Z,Thurso,5,areas
2020-05-11T02:21:20Z,To be determined,15,areas
2020-05-11T02:21:20Z,To be determined,9,rls
2020-05-11T02:21:20Z,Total cases,334,areas
2020-05-11T02:21:20Z,Total cases,337,rls
2020-05-11T02:21:20Z,Val-des-Monts,8,areas
2020-05-11T23:37:46Z,Active cases,128,rls
2020-05-11T23:37:46Z,Blue Sea,5,areas
2020-05-11T23:37:46Z,Cantley,5,areas
2020-05-11T23:37:46Z,Deaths,8,rls
2020-05-11T23:37:46Z,Fassett,5,areas
2020-05-11T23:37:46Z,Gatineau,274,areas
2020-05-11T23:37:46Z,Healed/resolved cases,210,rls
2020-05-11T23:37:46Z,L'Ange-Gardien,8,areas
2020-05-11T23:37:46Z,La Pêche,5,areas
2020-05-11T23:37:46Z,Lac-des-Plages,5,areas
2020-05-11T23:37:46Z,Maniwaki,5,areas
2020-05-11T23:37:46Z,Montebello,5,areas
2020-05-11T23:37:46Z,MRC du Pontiac,5,areas
2020-05-11T23:37:46Z,Papineauville,5,areas
2020-05-11T23:37:46Z,Plaisance,5,areas
2020-05-11T23:37:46Z,Ripon,5,areas
2020-05-11T23:37:46Z,RLS de Gatineau,286,rls
2020-05-11T23:37:46Z,RLS de la Vallée-de-la-Gatineau,5,rls
2020-05-11T23:37:46Z,RLS de Papineau,38,rls
2020-05-11T23:37:46Z,RLS des Collines-de-l'Outaouais,15,rls
2020-05-11T23:37:46Z,RLS du Pontiac,5,rls
2020-05-11T23:37:46Z,Saint-André-Avellin,7,areas
2020-05-11T23:37:46Z,Thurso,5,areas
2020-05-11T23:37:46Z,To be determined,27,areas
2020-05-11T23:37:46Z,To be determined,1,rls
2020-05-11T23:37:46Z,Total cases,346,areas
2020-05-11T23:37:46Z,Total cases,347,rls
2020-05-11T23:37:46Z,Val-des-Monts,8,areas
2020-05-13T04:46:49Z,Active cases,135,rls
2020-05-13T04:46:49Z,Blue Sea,5,areas
2020-05-13T04:46:49Z,Cantley,8,areas
2020-05-13T04:46:49Z,Deaths,8,rls
2020-05-13T04:46:49Z,Fassett,5,areas
2020-05-13T04:46:49Z,Gatineau,303,areas
2020-05-13T04:46:49Z,Healed/resolved cases,211,rls
2020-05-13T04:46:49Z,L'Ange-Gardien,8,areas
2020-05-13T04:46:49Z,La Pêche,5,areas
2020-05-13T04:46:49Z,Lac-des-Plages,5,areas
2020-05-13T04:46:49Z,Maniwaki,5,areas
2020-05-13T04:46:49Z,Montebello,5,areas
2020-05-13T04:46:49Z,MRC du Pontiac,5,areas
2020-05-13T04:46:49Z,Papineauville,5,areas
2020-05-13T04:46:49Z,Plaisance,5,areas
2020-05-13T04:46:49Z,Ripon,5,areas
2020-05-13T04:46:49Z,RLS de Gatineau,290,rls
2020-05-13T04:46:49Z,RLS de la Vallée-de-la-Gatineau,5,rls
2020-05-13T04:46:49Z,RLS de Papineau,40,rls
2020-05-13T04:46:49Z,RLS des Collines-de-l'Outaouais,17,rls
2020-05-13T04:46:49Z,RLS du Pontiac,5,rls
2020-05-13T04:46:49Z,Saint-André-Avellin,7,areas
2020-05-13T04:46:49Z,Thurso,5,areas
2020-05-13T04:46:49Z,To be determined,1,areas
2020-05-13T04:46:49Z,To be determined,1,rls
2020-05-13T04:46:49Z,Total cases,354,areas
2020-05-13T04:46:49Z,Total cases,354,rls
2020-05-13T04:46:49Z,Val-des-Monts,7,areas
2020-05-14T01:17:36Z,Active cases,140,rls
2020-05-14T01:17:36Z,Blue Sea,5,areas
2020-05-14T01:17:36Z,Cantley,8,areas
2020-05-14T01:17:36Z,Deaths,8,rls
2020-05-14T01:17:36Z,Fassett,5,areas
2020-05-14T01:17:36Z,Gatineau,303,areas
2020-05-14T01:17:36Z,Healed/resolved cases,212,rls
2020-05-14T01:17:36Z,L'Ange-Gardien,8,areas
2020-05-14T01:17:36Z,La Pêche,5,areas
2020-05-14T01:17:36Z,Lac-des-Plages,5,areas
2020-05-14T01:17:36Z,Maniwaki,5,areas
2020-05-14T01:17:36Z,Montebello,5,areas
2020-05-14T01:17:36Z,MRC du Pontiac,5,areas
2020-05-14T01:17:36Z,Papineauville,5,areas
2020-05-14T01:17:36Z,Plaisance,5,areas
2020-05-14T01:17:36Z,Ripon,5,areas
2020-05-14T01:17:36Z,RLS de Gatineau,296,rls
2020-05-14T01:17:36Z,RLS de la Vallée-de-la-Gatineau,5,rls
2020-05-14T01:17:36Z,RLS de Papineau,40,rls
2020-05-14T01:17:36Z,RLS des Collines-de-l'Outaouais,17,rls
2020-05-14T01:17:36Z,RLS du Pontiac,5,rls
2020-05-14T01:17:36Z,Saint-André-Avellin,7,areas
2020-05-14T01:17:36Z,Thurso,5,areas
2020-05-14T01:17:36Z,To be determined,1,areas
2020-05-14T01:17:36Z,To be determined,1,rls
2020-05-14T01:17:36Z,Total cases,354,areas
2020-05-14T01:17:36Z,Total cases,360,rls
2020-05-14T01:17:36Z,Val-des-Monts,7,areas
2020-05-15T04:13:57Z,Active cases,150,rls
2020-05-15T04:13:57Z,Blue Sea,5,areas
2020-05-15T04:13:57Z,Cantley,8,areas
2020-05-15T04:13:57Z,Deaths,10,rls
2020-05-15T04:13:57Z,Fassett,5,areas
2020-05-15T04:13:57Z,Gatineau,313,areas
2020-05-15T04:13:57Z,Healed/resolved cases,216,rls
2020-05-15T04:13:57Z,L'Ange-Gardien,8,areas
2020-05-15T04:13:57Z,La Pêche,5,areas
2020-05-15T04:13:57Z,Lac-des-Plages,5,areas
